ID;Datum;Name;Beschreibung;Typ;IMP;PRB;MAG;Owner;Gegenmaßnahme
1;07.12.2020;Einsatz neuer Tools;Das Team muss sich das Wissen um mit den in der Projektarbeit genutzten Tools (GitHub, Visual Studio) zu arbeiten aneignen; technisch ;4;80%;3,2;Alle Teammitglieder;Sondermeeting, indem erfahrene Teammitglieder hilfestellung bieten und Fragen beantworten
2;-;Fehlendes Know-How;Es fehlt Fachwiisen um die Anforderungen techisch zu realisieren;technisch;3;60%;1,8;Entwickler, Tester;Einzelne Personen eignen sich Fähigkeiten an und geben die in Meetings weiter
3;-Teaminterne Missverstände;-;-;-;-;-;-;-;-
4;30.11.2020;Fehler im Management;Keine klare Verteilung der Aufgaben und fehlende Übersicht für Zeitmanagement des Gesamtprojekts;organisatorisch;4;70%;2,8;Projektmanagement;Kommunikation mit Coach und im Praktikum
5;14.12.2020;Anforderungen der Themensteller missverstanden;Die Ziele des Projekts und Wünsche der Themensteller wurden nicht richtig verstanden, es wird in die falsche Richtung gearbeitet;geschäftlich;5;30%;1,5;Analysten;Bereitstellen der ersten Vision an TS, Feedback gleich zu beginn einholen
6;-;-;-;-;-;-;-;-;-
7;-;-;-;-;-;-;-;-;-
8;-;-;-;-;-;-;-;-;-
9;-;-;-;-;-;-;-;-;-
10;-;-;-;-;-;-;-;-;-
